"review_id","image_path","source_image_id","proposed_class","dataset_a_class_id","dataset_a_class_name","source_question","source_answer","perceptual_group_id","review_status","review_notes","review_label"
"B6-0001","traffic512final/img_0017.jpg","img_0017.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Fuel station","group_0017","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0002","traffic512final/img_0049.jpg","img_0049.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0049","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0003","traffic512final/img_0063.jpg","img_0063.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0063","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0004","traffic512final/img_0096.jpg","img_0096.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0096","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0005","traffic512final/img_0098.jpg","img_0098.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0098","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0006","traffic512final/img_0099.jpg","img_0099.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0099","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0007","traffic512final/img_0478.jpg","img_0478.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0412","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0008","traffic512final/img_0496.jpg","img_0496.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0430","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0009","traffic512final/img_0512.jpg","img_0512.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0446","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0010","traffic512final/img_0530.jpg","img_0530.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0464","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0011","traffic512final/img_0564.jpg","img_0564.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0498","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0012","traffic512final/img_0588.jpg","img_0588.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0522","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0013","traffic512final/img_0785.jpg","img_0785.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0708","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0014","traffic512final/img_0795.jpg","img_0795.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0718","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0015","traffic512final/img_0917.jpg","img_0917.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0837","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
