review_id,image_path,source_image_id,proposed_class,source_question,source_answer,perceptual_group_id,review_status,review_label,review_notes
V2-0001,traffic512final/img_0017.jpg,img_0017.jpg,filling_station,What does this traffic sign indicate?,Fuel station,group_0017,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0002,traffic512final/img_0049.jpg,img_0049.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0049,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0003,traffic512final/img_0063.jpg,img_0063.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0063,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0004,traffic512final/img_0096.jpg,img_0096.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0096,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0005,traffic512final/img_0098.jpg,img_0098.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0098,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0006,traffic512final/img_0099.jpg,img_0099.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0099,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0007,traffic512final/img_0478.jpg,img_0478.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0412,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0008,traffic512final/img_0496.jpg,img_0496.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0430,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0009,traffic512final/img_0512.jpg,img_0512.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0446,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0010,traffic512final/img_0530.jpg,img_0530.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0464,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0011,traffic512final/img_0564.jpg,img_0564.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0498,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0012,traffic512final/img_0588.jpg,img_0588.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0522,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0013,traffic512final/img_0785.jpg,img_0785.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0708,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0014,traffic512final/img_0795.jpg,img_0795.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0718,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0015,traffic512final/img_0917.jpg,img_0917.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0837,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0016,traffic512final/img_0918.jpg,img_0918.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0838,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0017,traffic512final/img_0919.jpg,img_0919.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0839,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0018,traffic512final/img_0920.jpg,img_0920.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0840,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0019,traffic512final/img_0937.jpg,img_0937.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0857,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0020,traffic512final/img_0988.jpg,img_0988.jpg,filling_station,What does this traffic sign indicate?,Petrol pump,group_0908,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0021,traffic512final/img_1061.jpg,img_1061.jpg,filling_station,What does this traffic sign indicate?,Fuel,group_0980,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0022,traffic512final/img_0084.jpg,img_0084.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0084,approved,,Visually consistent with gap_in_median.
V2-0023,traffic512final/img_0085.jpg,img_0085.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0085,approved,,Visually consistent with gap_in_median.
V2-0024,traffic512final/img_0468.jpg,img_0468.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0402,approved,,Visually consistent with gap_in_median.
V2-0025,traffic512final/img_0622.jpg,img_0622.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0556,approved,,Visually consistent with gap_in_median.
V2-0026,traffic512final/img_0650.jpg,img_0650.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0584,approved,,Visually consistent with gap_in_median.
V2-0027,traffic512final/img_0701.jpg,img_0701.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0635,approved,,Visually consistent with gap_in_median.
V2-0028,traffic512final/img_0791.jpg,img_0791.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0714,approved,,Visually consistent with gap_in_median.
V2-0029,traffic512final/img_0792.jpg,img_0792.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0715,approved,,Visually consistent with gap_in_median.
V2-0030,traffic512final/img_0793.jpg,img_0793.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0716,approved,,Visually consistent with gap_in_median.
V2-0031,traffic512final/img_0794.jpg,img_0794.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0717,approved,,Visually consistent with gap_in_median.
V2-0032,traffic512final/img_0948.jpg,img_0948.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0868,approved,,Visually consistent with gap_in_median.
V2-0033,traffic512final/img_0949.jpg,img_0949.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0869,approved,,Visually consistent with gap_in_median.
V2-0034,traffic512final/img_0966.jpg,img_0966.jpg,gap_in_median,What does this traffic sign indicate?,Gap in median,group_0886,approved,,Visually consistent with gap_in_median.
V2-0035,traffic512final/img_0078.jpg,img_0078.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0078,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0036,traffic512final/img_0079.jpg,img_0079.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0079,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0037,traffic512final/img_0174.jpg,img_0174.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0174,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0038,traffic512final/img_0282.jpg,img_0282.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0276,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0039,traffic512final/img_0370.jpg,img_0370.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0360,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0040,traffic512final/img_0395.jpg,img_0395.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0360,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0041,traffic512final/img_0503.jpg,img_0503.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0437,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0042,traffic512final/img_0517.jpg,img_0517.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0451,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0043,traffic512final/img_0603.jpg,img_0603.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0537,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0044,traffic512final/img_0607.jpg,img_0607.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0541,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
V2-0045,traffic512final/img_0667.jpg,img_0667.jpg,give_way,What does this traffic sign indicate?,Give way to traffic on major road,group_0601,approved,,Visually consistent with the proposed class in the uploaded contact sheet.
