question,answer,count
What shape is this traffic sign?,Triangle,164
Should the driver slow down?,Yes,150
What should the driver do?,Slow down,116
What geometric shape is used for this traffic sign?,Triangle,111
What driving action is recommended when approaching this traffic sign?,Slow,111
What is the color outlining the traffic sign?,Red,111
What happens if the driver ignores it?,Penalty,84
What shape is the traffic sign?,Triangle,83
What is mainly reduced by following cautionary traffic signs?,Accidents,83
What does this traffic sign indicate?,Pedestrian Crossing Ahead,80
Where is this traffic sign most commonly seen?,Crossings,80
What does this traffic sign help with?,Navigation,70
What does this traffic sign indicate?,Directions,65
What action must a driver take when seeing this traffic sign?,Obey with the limit,64
What shape is this traffic sign?,Circular,61
What is the main purpose of the traffic sign?,Safety,60
What shape is this traffic sign?,Rectangular,52
what does this traffic sign indicate?,Speed Limit,51
What type of road feature does it warn about?,Curve,45
What should the driver do?,Slow,38
What does this traffic sign indicate?,School,38
Should the car increase or decrease speed here?,Decrease,38
What action must the car take if children are crossing?,Stop,38
Should the car be more cautious in this zone?,Yes,38
Is this a bus stop?,yes,37
What type of vehicle stops here?,Bus,37
What does the symbol represent?,Stop,36
What color background does this traffic sign have?,Blue,36
What should the driver do when seeing this traffic sign?,Obey,35
What do mandatory traffic signs indicate?,Rules/Orders,35
What is the arrow color in this traffic sign?,White,34
What is the shape of this traffic sign?,Circle,33
Which direction does the arrow indicate?,Left,33
On which side should the vehicle pass?,Left,33
How many humps are warned of?,Series,33
What type of traffic sign is this?,Bus,33
What does this traffic sign indicate?,Humps/Speed breakers,32
what does this traffic sign indicate?,Right-turn,31
What do mandatory traffic signs indicate?,Orders/Rules,29
what does this traffic sign indicate?,Speed,28
What word is on the traffic sign?,STOP,27
What does the word on the traffic sign tell you to do?,Halt,27
What is the purpose of the traffic sign?,Safety,27
What shape is the traffic sign?,Octagon,27
What does this traffic sign indicate?,Hump/Speed breaker,27
How many humps are warned of?,Single,27
what does this traffic sign indicate?,right curve ahead,25
What is reduced by following cautionary traffic signs?,Accidents,25
What speed limit does this traffic sign indicate?,40 km/h,23
What does this traffic sign indicate?,Junction,23
From which side is the side road joining?,Left,23
Should drivers slow down near this traffic sign?,Yes,23
Should the driver increase or decrease speed here?,Decrease,22
What color border does this traffic sign have?,Red,22
In what kind of areas might you see this 80 km/h traffic sign?,Highways / main roads,22
What is the shape of this traffic sign?,Rectangle,22
Is this a mandatory traffic sign?,No,21
What does this traffic sign indicate?,Give way to traffic on major road,21
what does this traffic sign indicate?,left curve ahead,21
In what kind of areas might you see this 40 km/h traffic sign?,Towns,20
What color background does it have?,Blue,20
What speed limit does this traffic sign indicate?,30 km/h,19
What does this traffic sign indicate?,Petrol pump,19
Who benefits most from this traffic sign?,Drivers,19
What speed limit does this traffic sign indicate?,80 km/h,19
What does this traffic sign indicate?,Dircetion,18
What action should a driver take here?,Obey,16
what does this traffic sign indicate?,Y-intersection,16
What does this traffic sign indicate?,Major road ahead,16
what does this traffic sign indicate?,side road right,16
What action must a driver take when seeing this traffic sign?,Slow down,15
What does the arrow indicate?,Left,15
What does this traffic sign indicate?,hairpin bend ahead,15
In what kind of areas might you see this 30 km/h traffic sign?,"Residential (or market, school zones)",14
What does this traffic sign indicate?,No entry,14
What should a driver do here?,Stop,14
What does the white horizontal line mean?,Prohibition,14
What does this traffic sign indicate?,One way,14
what does this traffic sign indicate?,Left-turn,14
What does this traffic sign indicate?,Gap in median,13
What does this traffic sign indicate?,Vehicles may pass on either side,12
What does this traffic sign indicate?,Intersection,12
What action should a driver take?,Slow,12
Does this traffic sign warn of a T-junction or a crossroad?,Crossroad,12
What does this traffic sign indicate?,Toilets and Drinking Water facilities ahead,11
Are these facilities for public use?,Yes,11
Which highway number is shown?,NH 216,10
What does this traffic sign indicate?,Highway,10
What color is the background?,Yellow,10
Is this a regulatory traffic sign?,No,9
What does this traffic sign indicate?,No Right Turn,9
Which place is straight ahead?,Ongole,9
What does this traffic sign indicate?,Truck Lay-by,9
Who is this traffic sign mainly for?,Truck,9
What does this traffic sign indicate?,Narrow bridge,8
What does this traffic sign indicate?,Hairpin bend ahead,8
what does this traffic sign indicate?,Left curve ahead,7
What does this traffic sign warn about?,Railway crossing,7
What type of railway crossing does this traffic sign indicate?,Unguarded crossing,7
Should a driver slow down when seeing this traffic sign?,Yes,7
what does this traffic sign indicate?,side road left,7
What does this traffic sign indicate?,No Overtaking,7
What does this traffic sign indicate?,T-intersection,7
what does this traffic sign indicate?,Right curve ahead,6
Which place is straight ahead?,Repalle,6
What speed limit does this traffic sign indicate?,60 km/h,6
What does this traffic sign indicate?,Go Slow,6
What does this traffic sign indicate?,No Parking,6
What color background is used?,Yellow,5
What color arrow is shown?,Black,5
What type of traffic sign is this?,Chevron,5
What does it indicate?,Curve,5
what does this traffic sign indicate?,Staggered Intersection,5
What does this traffic sign indicate?,Accident black spot / Accident-prone area,5
What does this traffic sign indicate?,School Zone,5
What does this traffic sign indicate?,Overhead cables,5
What color background does it have?,Green,5
What speed limit does this traffic sign indicate?,20 km/h,5
What does this traffic sign indicate?,Hazard Mraker,5
What pattern is on the board?,Stripes,5
What should the driver do?,Careful,5
What colors are used on this traffic sign?,Yellow and Black,5
Which place is straight ahead?,"G.Konduru, Ibrahimpatnam and Vijayawada",5
Which place is nearest from here?,G.Konduru,5
What type of traffic sign is this?,Informative,4
How far is the petrol pump from here?,1KM,4
What does this traffic sign indicate?,one way,4
What speed limit does this traffic sign indicate?,65 km/h,4
In what kind of areas might you see this 65 km/h traffic sign?,Main Roads,4
What is the shape of this traffic sign?,Rectangular,4
what does this traffic sign indicate?,Side road right,4
What does this traffic sign indicate?,Road-widening,4
