review_id,image_path,source_image_id,proposed_class,source_question,source_answer,perceptual_group_id,review_status,review_label,review_notes
V2-0267,traffic512final/img_0441.jpg,img_0441.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0376,pending,,
V2-0268,traffic512final/img_0444.jpg,img_0444.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0379,pending,,
V2-0269,traffic512final/img_0447.jpg,img_0447.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0380,pending,,
V2-0270,traffic512final/img_0448.jpg,img_0448.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0381,pending,,
V2-0271,traffic512final/img_0514.jpg,img_0514.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0448,pending,,
V2-0272,traffic512final/img_0527.jpg,img_0527.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0461,pending,,
V2-0273,traffic512final/img_0533.jpg,img_0533.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0467,pending,,
V2-0274,traffic512final/img_0537.jpg,img_0537.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0471,pending,,
V2-0275,traffic512final/img_0566.jpg,img_0566.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0500,pending,,
V2-0276,traffic512final/img_0576.jpg,img_0576.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0510,pending,,
V2-0277,traffic512final/img_0646.jpg,img_0646.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0580,pending,,
V2-0278,traffic512final/img_0662.jpg,img_0662.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0596,pending,,
V2-0279,traffic512final/img_0668.jpg,img_0668.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0602,pending,,
V2-0280,traffic512final/img_0688.jpg,img_0688.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0622,pending,,
V2-0281,traffic512final/img_0699.jpg,img_0699.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0633,pending,,
V2-0282,traffic512final/img_0700.jpg,img_0700.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0634,pending,,
V2-0283,traffic512final/img_0709.jpg,img_0709.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0643,pending,,
V2-0284,traffic512final/img_0712.jpg,img_0712.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0646,pending,,
V2-0285,traffic512final/img_0714.jpg,img_0714.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0648,pending,,
V2-0286,traffic512final/img_0716.jpg,img_0716.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0650,pending,,
V2-0287,traffic512final/img_0723.jpg,img_0723.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0657,pending,,
V2-0288,traffic512final/img_0733.jpg,img_0733.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0667,pending,,
V2-0289,traffic512final/img_0803.jpg,img_0803.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0726,pending,,
V2-0290,traffic512final/img_0815.jpg,img_0815.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0738,pending,,
V2-0291,traffic512final/img_0824.jpg,img_0824.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0747,pending,,
V2-0292,traffic512final/img_0825.jpg,img_0825.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0748,pending,,
V2-0293,traffic512final/img_0839.jpg,img_0839.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0762,pending,,
V2-0294,traffic512final/img_0851.jpg,img_0851.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0774,pending,,
V2-0295,traffic512final/img_0853.jpg,img_0853.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0776,pending,,
V2-0296,traffic512final/img_0855.jpg,img_0855.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0778,pending,,
V2-0297,traffic512final/img_0863.jpg,img_0863.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0786,pending,,
V2-0298,traffic512final/img_0883.jpg,img_0883.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0806,pending,,
V2-0299,traffic512final/img_0884.jpg,img_0884.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0806,pending,,
V2-0300,traffic512final/img_0889.jpg,img_0889.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0810,pending,,
V2-0301,traffic512final/img_0890.jpg,img_0890.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0810,pending,,
V2-0302,traffic512final/img_0909.jpg,img_0909.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0829,pending,,
V2-0303,traffic512final/img_0910.jpg,img_0910.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0830,pending,,
V2-0304,traffic512final/img_0934.jpg,img_0934.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0854,pending,,
V2-0305,traffic512final/img_0938.jpg,img_0938.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0858,pending,,
V2-0306,traffic512final/img_0943.jpg,img_0943.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0863,pending,,
V2-0307,traffic512final/img_0946.jpg,img_0946.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0866,pending,,
V2-0308,traffic512final/img_0950.jpg,img_0950.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0870,pending,,
V2-0309,traffic512final/img_0953.jpg,img_0953.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0873,pending,,
V2-0310,traffic512final/img_0963.jpg,img_0963.jpg,pedestrian_crossing_ahead,What does this traffic sign indicate?,Pedestrian Crossing Ahead,group_0883,pending,,
