relative_image_path,label,category,source_question,source_answer,image_id,leakage_group_id
traffic512final/img_0003.jpg,pedestrian_crossing_ahead,Cautionary,What does this traffic sign indicate?,Pedestrian Crossing Ahead,img_0003.jpg,group_0003
traffic512final/img_0004.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0004.jpg,group_0004
traffic512final/img_0011.jpg,maximum_speed_limit_30_km_h,Mandatory,what does this traffic sign indicate?,Speed Limit,img_0011.jpg,group_0011
traffic512final/img_0017.jpg,filling_station,Informatory,What does this traffic sign indicate?,Fuel station,img_0017.jpg,group_0017
traffic512final/img_0018.jpg,road_hump,Cautionary,What does this traffic sign indicate?,Humps/Speed breakers,img_0018.jpg,group_0018
traffic512final/img_0021.jpg,road_hump,Cautionary,What type of obstacle does this traffic sign warn about?,Bump,img_0021.jpg,group_0021
traffic512final/img_0032.jpg,pedestrian_crossing_ahead,Cautionary,What does this traffic sign indicate?,Pedestrian Crossing Ahead,img_0032.jpg,group_0032
traffic512final/img_0035.jpg,maximum_speed_limit_40_km_h,Mandatory,what does this traffic sign indicate?,Speed Limit,img_0035.jpg,group_0035
traffic512final/img_0037.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0037.jpg,group_0037
traffic512final/img_0038.jpg,pedestrian_crossing_ahead,Cautionary,What does this traffic sign indicate?,Pedestrian Crossing Ahead,img_0038.jpg,group_0038
traffic512final/img_0044.jpg,stop,Informatory,What does the symbol represent?,Stop,img_0044.jpg,group_0044
traffic512final/img_0049.jpg,filling_station,Informatory,What does this traffic sign indicate?,Petrol pump,img_0049.jpg,group_0049
traffic512final/img_0050.jpg,no_entry,Mandatory,What does this traffic sign indicate?,No entry,img_0050.jpg,group_0050
traffic512final/img_0051.jpg,one_way,Mandatory,What does this traffic sign indicate?,One way,img_0051.jpg,group_0051
traffic512final/img_0054.jpg,maximum_speed_limit_80_km_h,Mandatory,what does this traffic sign indicate?,Speed Limit,img_0054.jpg,group_0054
traffic512final/img_0056.jpg,stop,Informatory,What does the symbol represent?,Stop,img_0056.jpg,group_0056
traffic512final/img_0057.jpg,stop,Informatory,What does the symbol represent?,Stop,img_0057.jpg,group_0057
traffic512final/img_0063.jpg,filling_station,Informatory,What does this traffic sign indicate?,Petrol pump,img_0063.jpg,group_0063
traffic512final/img_0064.jpg,no_right_turn,Mandatory,What does this traffic sign indicate?,No Right Turn,img_0064.jpg,group_0064
traffic512final/img_0066.jpg,no_entry,Mandatory,What does this traffic sign indicate?,No entry,img_0066.jpg,group_0066
traffic512final/img_0067.jpg,no_entry,Mandatory,What does this traffic sign indicate?,No entry,img_0067.jpg,group_0067
traffic512final/img_0068.jpg,pass_either_side,Mandatory,What does this traffic sign indicate?,Vehicles may pass on either side,img_0068.jpg,group_0068
traffic512final/img_0071.jpg,one_way,Mandatory,What does this traffic sign indicate?,one way,img_0071.jpg,group_0071
traffic512final/img_0072.jpg,one_way,Mandatory,What does this traffic sign indicate?,one way,img_0072.jpg,group_0072
traffic512final/img_0073.jpg,pass_either_side,Mandatory,What does this traffic sign indicate?,Vehicles may pass on either side,img_0073.jpg,group_0073
traffic512final/img_0076.jpg,no_entry,Mandatory,What does this traffic sign indicate?,No entry,img_0076.jpg,group_0076
traffic512final/img_0077.jpg,no_entry,Mandatory,What does this traffic sign indicate?,No entry,img_0077.jpg,group_0077
traffic512final/img_0078.jpg,give_way,Mandatory,What does this traffic sign indicate?,Give way to traffic on major road,img_0078.jpg,group_0078
traffic512final/img_0079.jpg,give_way,Mandatory,What does this traffic sign indicate?,Give way to traffic on major road,img_0079.jpg,group_0079
traffic512final/img_0084.jpg,gap_in_median,Cautionary,What does this traffic sign indicate?,Gap in median,img_0084.jpg,group_0084
traffic512final/img_0085.jpg,gap_in_median,Cautionary,What does this traffic sign indicate?,Gap in median,img_0085.jpg,group_0085
traffic512final/img_0086.jpg,maximum_speed_limit_80_km_h,Mandatory,what does this traffic sign indicate?,Speed,img_0086.jpg,group_0086
traffic512final/img_0087.jpg,right_curve_ahead,Cautionary,what does this traffic sign indicate?,Right curve ahead,img_0087.jpg,group_0087
traffic512final/img_0088.jpg,right_curve_ahead,Cautionary,what does this traffic sign indicate?,right curve ahead,img_0088.jpg,group_0088
traffic512final/img_0091.jpg,left_curve_ahead,Cautionary,what does this traffic sign indicate?,Left curve ahead,img_0091.jpg,group_0091
traffic512final/img_0094.jpg,y_junction,Cautionary,what does this traffic sign indicate?,Y-intersection,img_0094.jpg,group_0094
traffic512final/img_0096.jpg,filling_station,Informatory,What does this traffic sign indicate?,Petrol pump,img_0096.jpg,group_0096
traffic512final/img_0097.jpg,no_right_turn,Mandatory,What does this traffic sign indicate?,No right turn,img_0097.jpg,group_0097
traffic512final/img_0098.jpg,filling_station,Informatory,What does this traffic sign indicate?,Petrol pump,img_0098.jpg,group_0098
traffic512final/img_0099.jpg,filling_station,Informatory,What does this traffic sign indicate?,Petrol pump,img_0099.jpg,group_0099
traffic512final/img_0101.jpg,one_way,Mandatory,What does this traffic sign indicate?,One way,img_0101.jpg,group_0101
traffic512final/img_0123.jpg,maximum_speed_limit_30_km_h,Mandatory,what does this traffic sign indicate?,Speed,img_0123.jpg,group_0123
traffic512final/img_0126.jpg,maximum_speed_limit_30_km_h,Mandatory,what does this traffic sign indicate?,Speed,img_0126.jpg,group_0126
traffic512final/img_0127.jpg,maximum_speed_limit_30_km_h,Mandatory,what does this traffic sign indicate?,Speed,img_0127.jpg,group_0127
traffic512final/img_0130.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School Zone,img_0130.jpg,group_0130
traffic512final/img_0131.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School Zone,img_0131.jpg,group_0131
traffic512final/img_0135.jpg,side_road_right,Cautionary,what does this traffic sign indicate?,Side road right,img_0135.jpg,group_0135
traffic512final/img_0136.jpg,side_road_right,Cautionary,what does this traffic sign indicate?,Side road right,img_0136.jpg,group_0136
traffic512final/img_0138.jpg,y_junction,Cautionary,what does this traffic sign indicate?,Y-intersection,img_0138.jpg,group_0138
traffic512final/img_0140.jpg,left_curve_ahead,Cautionary,what does this traffic sign indicate?,Left curve ahead,img_0140.jpg,group_0140
traffic512final/img_0141.jpg,right_curve_ahead,Cautionary,What does this traffic sign indicate?,Right bend,img_0141.jpg,group_0141
traffic512final/img_0143.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0143.jpg,group_0143
traffic512final/img_0144.jpg,road_hump,Cautionary,What does this traffic sign indicate?,Hump/Speed breaker,img_0144.jpg,group_0144
traffic512final/img_0145.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School Zone,img_0145.jpg,group_0145
traffic512final/img_0148.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0148.jpg,group_0148
traffic512final/img_0150.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0150.jpg,group_0150
traffic512final/img_0151.jpg,school_ahead,Cautionary,What does this traffic sign indicate?,School,img_0151.jpg,group_0151
traffic512final/img_0152.jpg,road_hump,Cautionary,What does this traffic sign indicate?,Hump/Speed breaker,img_0152.jpg,group_0152
traffic512final/img_0154.jpg,road_hump,Cautionary,What does this traffic sign indicate?,Humps/Speed breakers,img_0154.jpg,group_0154
traffic512final/img_0155.jpg,maximum_speed_limit_40_km_h,Mandatory,what does this traffic sign indicate?,Speed Limit,img_0155.jpg,group_0155
traffic512final/img_0157.jpg,one_way,Mandatory,What does this traffic sign indicate?,one way,img_0157.jpg,group_0157
traffic512final/img_0158.jpg,no_right_turn,Mandatory,What does this traffic sign indicate?,No Right Turn,img_0158.jpg,group_0158
traffic512final/img_0162.jpg,road_hump,Cautionary,What does this traffic sign indicate?,Hump/Speed breaker,img_0162.jpg,group_0162
traffic512final/img_0164.jpg,pass_either_side,Mandatory,What does this traffic sign indicate?,Vehicles may pass on either side,img_0164.jpg,group_0164
traffic512final/img_0165.jpg,one_way,Mandatory,What does this traffic sign indicate?,one way,img_0165.jpg,group_0165
traffic512final/img_0166.jpg,no_right_turn,Mandatory,What does this traffic sign indicate?,No Right Turn,img_0166.jpg,group_0166
traffic512final/img_0167.jpg,maximum_speed_limit_80_km_h,Mandatory,what does this traffic sign indicate?,Speed Limit,img_0167.jpg,group_0167
traffic512final/img_0168.jpg,major_road_ahead,Cautionary,What does this traffic sign indicate?,Major road ahead,img_0168.jpg,group_0168
traffic512final/img_0170.jpg,right_curve_ahead,Cautionary,what does this traffic sign indicate?,Right curve ahead,img_0170.jpg,group_0170
traffic512final/img_0173.jpg,right_curve_ahead,Cautionary,what does this traffic sign indicate?,Right curve ahead,img_0173.jpg,group_0173
traffic512final/img_0174.jpg,give_way,Mandatory,What does this traffic sign indicate?,Give way to traffic on major road,img_0174.jpg,group_0174
traffic512final/img_0175.jpg,hairpin_bend_ahead,Cautionary,What does this traffic sign indicate?,hairpin bend ahead,img_0175.jpg,group_0175
traffic512final/img_0177.jpg,left_curve_ahead,Cautionary,what does this traffic sign indicate?,left curve ahead,img_0177.jpg,group_0177
traffic512final/img_0178.jpg,left_curve_ahead,Cautionary,what does this traffic sign indicate?,left curve ahead,img_0178.jpg,group_0177
