question,count
What does this traffic sign indicate?,656
What shape is this traffic sign?,281
what does this traffic sign indicate?,234
What should the driver do?,163
Should the driver slow down?,150
What shape is the traffic sign?,115
What geometric shape is used for this traffic sign?,111
What driving action is recommended when approaching this traffic sign?,111
What is the color outlining the traffic sign?,111
What happens if the driver ignores it?,84
What is mainly reduced by following cautionary traffic signs?,83
Where is this traffic sign most commonly seen?,80
What speed limit does this traffic sign indicate?,79
What action must a driver take when seeing this traffic sign?,79
What does this traffic sign help with?,70
What do mandatory traffic signs indicate?,64
What is the shape of this traffic sign?,62
How many humps are warned of?,60
What is the main purpose of the traffic sign?,60
What type of traffic sign is this?,51
Which place is straight ahead?,46
What type of road feature does it warn about?,45
Should the car increase or decrease speed here?,38
What action must the car take if children are crossing?,38
Should the car be more cautious in this zone?,38
What color background does this traffic sign have?,38
Is this a bus stop?,37
What type of vehicle stops here?,37
What does the symbol represent?,36
What should the driver do when seeing this traffic sign?,35
What is the arrow color in this traffic sign?,34
Which direction does the arrow indicate?,33
On which side should the vehicle pass?,33
What color background does it have?,28
What word is on the traffic sign?,27
What does the word on the traffic sign tell you to do?,27
What is the purpose of the traffic sign?,27
What is reduced by following cautionary traffic signs?,25
From which side is the side road joining?,23
Should drivers slow down near this traffic sign?,23
Should the driver increase or decrease speed here?,22
What color border does this traffic sign have?,22
In what kind of areas might you see this 80 km/h traffic sign?,22
Which place is to the right?,22
Is this a mandatory traffic sign?,21
In what kind of areas might you see this 40 km/h traffic sign?,20
Which place is to the left?,20
Who benefits most from this traffic sign?,19
What does the arrow indicate?,19
What is the name shown on the traffic sign?,19
Which place is nearest from here?,19
What action should a driver take here?,16
What should a driver do here?,15
In what kind of areas might you see this 30 km/h traffic sign?,14
What does the white horizontal line mean?,14
What action should a driver take?,12
Does this traffic sign warn of a T-junction or a crossroad?,12
What color is the background?,12
How far is the petrol pump from here?,11
Are these facilities for public use?,11
Which highway number is shown?,11
Is this a regulatory traffic sign?,9
Who is this traffic sign mainly for?,9
What does this traffic sign warn about?,7
What type of railway crossing does this traffic sign indicate?,7
Should a driver slow down when seeing this traffic sign?,7
What is the shape of the traffic sign?,7
What color background is used?,6
What does it indicate?,6
Is this traffic sign circular or triangular?,6
What does the arrow represent?,5
What color arrow is shown?,5
What is the distance shown on the traffic sign?,5
What is the background color?,5
Which place is farthest from here?,5
What pattern is on the board?,5
What colors are used on this traffic sign?,5
Where is this traffic sign usually found?,4
What type of area is ahead?,4
In what kind of areas might you see this 65 km/h traffic sign?,4
what does the traffic sign represent?,4
What shape is the warning traffic sign?,4
What color is the border of the traffic sign?,4
What type of hazard is depicted by this traffic sign?,4
What type of zone is indicated by the traffic signal?,4
What should you be cautious about?,4
What is the main warning of this traffic signal?,4
What kind of road condition does this traffic signal suggest?,4
What is the direction of it?,4
Should the car increase or decrease speed?,3
What is the border color?,3
What action should be taken?,3
What type of turn is shown?,3
What direction is indicated?,3
What symbol is shown?,3
What does the traffic sign provide?,3
What is the destination shown on the traffic sign?,3
What language is used on the traffic sign?,3
In which direction does the arrow point?,3
What type of road traffic sign is this?,3
is this facility for public use?,3
What color is the traffic sign?,3
What is the color of the traffic signboard?,3
What color is used in this traffic sign?,3
What color border does it have?,3
What is the purpose of this traffic sign?,3
What color is the background of the traffic sign?,3
What color border does the traffic sign have?,3
What does the traffic sign help prevent?,3
What type of drivers should notice this traffic sign most?,3
what should the driver do?,3
What is the color of the board,3
What is the background color of the traffic signboard?,3
What is the arrow color?,3
Are vehicles allowed to enter?,3
What should the driver do here?,2
Which direction is the curve?,2
What action should the car take?,2
Which direction to Repalle?,2
Which direction to Bapatla?,2
What place is mentioned on the board?,2
Which side is the petrol pump shown?,2
Which direction does it show?,2
What language is used besides English?,2
What is the board’s color?,2
What kind of traffic sign is this?,2
What is the farthest city shown on the traffic sign?,2
Which place is to the right,2
How far is the filling station from here?,2
What color is mainly used in this traffic sign?,2
What facility does this traffic sign indicate?,2
What does it help drivers find?,2
Should heavy vehicles stop here?,2
What color is the background of this traffic sign?,2
which area is farthest from here?,2
What risk is highlighted?,2
Is this area safe?,2
What action should driver take?,2
What kind of area is this?,2
Is this a place indicator?,2
What place does it show?,2
Which side is the place located?,2
What type of warning might this traffic sign provide?,2
What should drivers be prepared for?,2
What might be ahead on the road?,2
What action should be taken by drivers?,2
What is the color of this traffic signboard?,2
Is this traffic sign mandatory?,2
What geometric shape is this traffic sign?,2
What is the color of thediagonal line?,2
Should one be alert here?,2
What should a person do here?,2
What color is used in the background of this traffic sign?,2
What area’s limit is ending?,2
Does this traffic sign mark entry or exit?,2
What is the maximum height allowed?,2
What shape does this traffic sign have?,2
What unit is used here for showing distance?,2
What is the color of background of this traffic sign,2
What action is advised?,2
What is the name of place shown on the board?,2
What is the color of the board?,2
What shape is this board?,2
What is name written on it?,2
How many kilometers does it show?,2
Is it a cautionary traffic sign?,2
Who uses this facility?,2
What should drivers do near it?,2
What is the distance to the traffic signal as per the traffic signboard?,2
What color is the pole of the traffic signboard?,2
Is the traffic sign located in a rural or urban area?,2
Should drivers stop or proceed?,2
Which type of vehicles are shown here?,2
What is ahead according to the traffic sign?,1
Why is caution needed?,1
What type of barrier is mentioned?,1
Direction of the bend?,1
What is required while entering this curve — Caution or Overtake?,1
Which direction does the bend indicate?,1
Is overtaking safe on this curve?,1
From which side is the road merging?,1
Should the car be alert for entering vehicles?,1
Is this traffic sign related to merging or overtaking?,1
What is the background color of this traffic sign?,1
What does the symbol inside represent?,1
Does this traffic sign indicate a junction or a curve?,1
Should the car slow down or speed up here?,1
What color is the road traffic sign?,1
Which direction for the temple road?,1
Which direction for the beach road?,1
What is the script used along with English?,1
What could happen if you ignore this traffic sign?,1
What color is the border?,1
What condition does the board warn about?,1
What behavior must be followed?,1
How far is the fuel station from here?,1
What is the name of the fuel station?,1
Which side is the fuel station located?,1
Which direction leads to Ongole?,1
Is this traffic sign used for navigation?,1
What does a red triangle traffic signal with a cross mean?,1
What should you do when you see a crossroad traffic sign ahead?,1
Is this an intersection warning?,1
What type of obstacle does this traffic sign warn about?,1
What kind of road feature is ahead?,1
Should the vehicle reduce speed here?,1
What does the abbreviation 'NH' stand for?,1
What type of road is indicated by the traffic signboard?,1
What is the number shown on the traffic sign?,1
What category does this traffic signboard belong to?,1
What color stripes are present?,1
What other color is present?,1
What type of marking is this?,1
What shape is the marking?,1
What is the inside color?,1
What color is the traffic signboard?,1
Which direction does the arrow point?,1
What place is indicated?,1
What does it provide?,1
What color is the text?,1
Which script is used along with English?,1
What script is used along with English?,1
What type of upcoming road feature does the traffic sign warn about?,1
Does the traffic sign indicate a turn to the left or the right?,1
What is the shape of this particular warning traffic sign?,1
What color border is typically found on this type of warning traffic sign?,1
What direction must vehicles follow at this intersection?,1
What is the purpose of the striped traffic island in the image?,1
Which side of the road is the blue vehicle approaching from?,1
What shape is commonly used for directional warning traffic signs like the one shown?,1
What does this board provide?,1
Which direction to Ongole?,1
Where is this traffic sign located?,1
What direction does the arrow on the traffic sign indicate?,1
What shape is used for this traffic warning traffic sign?,1
What color is the border of the warning traffic sign?,1
What type of road feature is this traffic sign warning about?,1
Which direction is Teachers Colony?,1
What color is the board?,1
Which direction is RTC Depot?,1
What type of restriction is shown?,1
Is car parking allowed?,1
Is bike parking allowed?,1
Does this board apply to four-wheelers?,1
Is waiting permitted?,1
Is this for vehicles or pedestrians?,1
Which category of traffic sign?,1
What action is restricted?,1
What type of place is this?,1
Which vehicle is allowed here?,1
Is this an informative or warning traffic sign?,1
Is parking permitted for autos?,1
Which place is indicated?,1
What does the arrow show?,1
Should vehicles turn here for buses?,1
Is this traffic sign indicating a straight road?,1
Is this a highway traffic sign?,1
Should a driver follow this traffic sign for Machilipatnam?,1
Does this traffic sign indicate any warning?,1
Which direction is Nandirajuthota?,1
Is the road traffic sign indicating a right turn?,1
Should a driver turn left to reach Nandirajuthota?,1
Is this a directional traffic sign?,1
What direction leads to Hyderapeta?,1
Is this an informational traffic sign?,1
Is Hyderapeta straight ahead?,1
On which side of the road is the traffic sign placed?,1
Does the traffic sign indicate a required turn?,1
What is the background color of the traffic sign?,1
What is the text color on the traffic sign?,1
What facility is listed first on the traffic sign?,1
What is the second service available?,1
Which direction is indicated for the services?,1
What is the color of the main traffic sign?,1
Which town is closer?,1
Which town is farther?,1
What kind of road is this likely on?,1
What does the traffic sign help with?,1
What’s the likely travel mode here?,1
What’s the shorter destination?,1
What’s the longer destination?,1
What type of traffic sign is it?,1
What script is used?,1
What language is below Telugu?,1
What kind of location is mentioned?,1
What is the board’s shape?,1
What languages are used?,1
What city is 17 km away?,1
What shape is this traffic sign usually?,1
Should the driver turn left?,1
Should the driver go straight?,1
How far is the Guntur from here?,1
Is this found on straight or curved roads?,1
What action is prohibited here?,1
What does the traffic sign promote?,1
What is written on this traffic sign?,1
Is this traffic sign used in highways or villages?,1
What is the distance to Tripuranthakam?,1
How far is Vinukonda from this point?,1
What is the distance to Guntur?,1
Which town is located 20 km from this point?,1
Which city is located 220 km from this point?,1
What is the distance to Srisailam from here?,1
Which direction leads to Hyderabad?,1
Which direction leads to Srisailam?,1
What is the traffic sign indicating?,1
What vehicle type is the lay-bye intended for?,1
How far away is the truck lay-bye?,1
What direction should trucks go?,1
What is the purpose of a lay-bye?,1
What should a truck driver do?,1
Is this traffic sign likely to refer to a dangerous road feature?,1
What color is the traffic sign background?,1
What shape is the traffic sign most likely to be?,1
Should drivers be vigilant or relaxed in this area?,1
What type of area does it show?,1
In which language those names are written?,1
What does it help with?,1
Which language is used here?,1
Should cars use the service road?,1
hich state is mentioned here?,1
Does it provide guidance or warning?,1
Is it used to help travelers?,1
What are the places shown on the Board?,1
Which authority issued this traffic sign?,1
What language is used on the board?,1
Is it used for public awareness?,1
In which language the names are written on this traffic sign?,1
When should people use this point?,1
Is this for safety?,1
What device is being used ahead?,1
What does the camera record?,1
What should drivers avoid here?,1
Which direction should vehicles go?,1
What shape is the traffic sign,1
What is being done in this area?,1
How many hours is CCTV active?,1
What does the traffic sign ensure?,1
What type of crossing does it show?,1
What lies ahead on the road?,1
What direction is shown on the traffic sign?,1
Which is the nearest place from here?,1
What gender hostel is it?,1
Where is it located?,1
Who is the hostel named after?,1
Which place’s limit ends here?,1
Who installs such traffic signs?,1
Does this traffic sign give a warning?,1
In which direction is the curve?,1
Which state’s tourism is mentioned?,1
Is this traffic sign used for safety or direction?,1
Which direction to Vegampalli?,1
Which direction to Vodapadu?,1
Which direction to Markapuram?,1
Which direction to Amaravati Pilgrim Center?,1
Which direction to Amaravati Capital Secretariat?,1
Which direction to Tadepalli?,1
Which direction to Tulluru?,1
Is Markapuram to the left?,1
Is Srisailam 80 km away?,1
Is Bodapadu a short distance away?,1
Is Markapuram further than Bodapadu?,1
Is Bodapadu to the right?,1
What is the shortest route shown?,1
Which location is straight ahead?,1
Which direction is Markapuram from here?,1
What is the nearest location mentioned?,1
How far is Rudrasamudram from here?,1
Which place is 20 km away?,1
What direction should the car take for Rayavaram?,1
What place is shown?,1
Where does the straight road go?,1
Where does the right road lead?,1
What type of board is this?,1
hat place is straight?,1
Where does the right road go?,1
What city is shown ahead?,1
Which direction shows Kadapa?,1
What place is shown straight?,1
Where does the arrow point?,1
What is the green board shape?,1
What is the green board color?,1
What should not be done?,1
Who should not be fed?,1
What does it ensure?,1
What material should not be thrown?,1
What happens if ignored?,1
What color is the stop traffic sign?,1
Is there a stop traffic sign?,1
Which way is Repalle?,1
Which way is Ongole?,1
Is there a curve ahead?,1
Does the road split?,1
What shape is the stop traffic sign?,1
Is the area rural?,1
What direction is Repalle?,1
What direction is Ongole?,1
Is the traffic signboard green?,1
Does the traffic sign show arrows?,1
What type of area is around?,1
What language is used?,1
Are both traffic signs readable?,1
Is the road divided?,1
What direction does the traffic sign indicate?,1
Which village is mentioned on the traffic sign?,1
What language is used on the top part of the traffic sign?,1
What shape is the arrow on the traffic sign?,1
Where should a driver go to reach the destination?,1
What script is used in the regional text?,1
What is the highway number shown on the traffic sign?,1
What is the nearest city mentioned?,1
What is the farthest destination on the traffic sign?,1
What is the language below Telugu on the traffic sign?,1
What direction should a driver take to reach Nellore?,1
What is the distance to Ongole from this point?,1
What type of intersection is shown in the traffic sign?,1
What action should a driverless car prepare for?,1
What does this traffic sign indicate about the current road?,1
What direction options will be available after the junction?,1
Should the car proceed at high or low speed approaching this traffic sign?,1
"Is the traffic sign regulatory, warning, or informational?",1
What shape is the traffic signboard?,1
Which sense is used by the AI to detect this traffic sign?,1
Which city is straight ahead?,1
What is the second city listed?,1
How many destinations are on the traffic sign?,1
Which direction is Eepurupalem?,1
What destination is straight ahead?,1
Which way does the arrow for Vodarevu point?,1
What city is indicated by the right arrow?,1
What is the traffic sign's background color?,1
What color is mainly used?,1
Should a driver go or stop?,1
Which vehicles are restricted?,1
What happens if disobeyed?,1
Who must obey this traffic sign?,1
Which authority placed this traffic sign?,1
What should drivers avoid?,1
What does disobeying this traffic sign cause?,1
What is the main purpose of it?,1
Which way should you go?,1
What can you find ahead?,1
What kind of vehicles benefit from this?,1
What is another word for petrol pump?,1
What does the traffic symbol represent?,1
Which language is used along with English on the traffic sign?,1
What is the shortest distance mentioned?,1
What is the longest distance listed?,1
