review_id,image_path,source_image_id,source_question,source_answer,source_dataset,original_v2_review_id,original_v2_proposed_class,original_v2_review_status,original_v2_review_label,original_v2_review_notes,original_v2_review_outcome,proposed_unseen_class,sha256,dhash,perceptual_group_id,source_or_independence_group,v2_train_overlap,v2_validation_overlap,v2_test_overlap,v2_exact_sha_overlap,v2_perceptual_group_overlap,overlap_validation_notes,eligibility_note,licence_status,review_status,review_label,review_notes
ULR-0001,data/raw/indian_traffic_vqa/traffic512final/img_0044.jpg,img_0044.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0479,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,5f8bc84c349c11e93dd517c82a11399649766e796712d9b7030a25d9c1a87a13,b032366c0333e60d,group_0044,group_0044,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0002,data/raw/indian_traffic_vqa/traffic512final/img_0056.jpg,img_0056.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0480,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,b6bdfd2e75fde5480971f93c9f2ee4f00d7770daafed8c339528bcba401842d4,8050594821050b3f,group_0056,group_0056,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0003,data/raw/indian_traffic_vqa/traffic512final/img_0057.jpg,img_0057.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0481,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,3d1d2c0d28f19933dbb636267c847c95c33e5181e55aafa5acd39a91996acd08,ca1ececc8e1c6201,group_0057,group_0057,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0004,data/raw/indian_traffic_vqa/traffic512final/img_0198.jpg,img_0198.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0482,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,06f5f0cd38d5f4f2536d6a0518332eb236f45f8d76ee1517df6f25dfc1c0d74f,c9129d9f98d46e94,group_0193,group_0193,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0005,data/raw/indian_traffic_vqa/traffic512final/img_0221.jpg,img_0221.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0483,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,5a4d257b1eff076d310358bc2d199dfe2c3197da59f78f855ddeeae8a395e4f2,83986e671403718b,group_0215,group_0215,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0006,data/raw/indian_traffic_vqa/traffic512final/img_0240.jpg,img_0240.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0484,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,a909854d89613f7c73c1cb59f930418c341e80701e087b65f9db2d1d0f4bf1c7,4008b9d94e666108,group_0234,group_0234,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0007,data/raw/indian_traffic_vqa/traffic512final/img_0241.jpg,img_0241.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0485,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,7634ab9c424b4fe8b0e18f235acacfb52be40c9a1e73cefda7e7bdde2da7c8bf,4c8631a112a92adc,group_0235,group_0235,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0008,data/raw/indian_traffic_vqa/traffic512final/img_0321.jpg,img_0321.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0486,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,d1167f2d25b9cefbcd5de7689989afc90c200814b9bcdbd043dd99fb3589470b,3d6f988b00881060,group_0315,group_0315,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0009,data/raw/indian_traffic_vqa/traffic512final/img_0346.jpg,img_0346.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0487,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,7dcb0953369fca6db4aad474026b60dfcd6d0b978b909ac22e186662b5e146cd,464d0b2a1b7e1872,group_0336,group_0336,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0010,data/raw/indian_traffic_vqa/traffic512final/img_0350.jpg,img_0350.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0488,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,f1b723560b6678cf89b1d1ee3a3e08cf399fbaea985e302f51bf1048129a758f,1b1b706000083202,group_0340,group_0340,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0011,data/raw/indian_traffic_vqa/traffic512final/img_0352.jpg,img_0352.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0489,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,72670a7984281c9495023482dcdce3c3d8dd5c9feeb403bb15774a345abff8c7,811494d6480e3313,group_0342,group_0342,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0012,data/raw/indian_traffic_vqa/traffic512final/img_0354.jpg,img_0354.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0490,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,10c73f96ca593167e18fa99b3f60d8640be81ac5fdd9db3e6c86f3df0ebce7ea,392c54d105191b25,group_0344,group_0344,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0013,data/raw/indian_traffic_vqa/traffic512final/img_0391.jpg,img_0391.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0491,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,d1556f01f8c27eba23225df75ea511b6de3b0795f143a58e758131a188620175,3d6f988b00881060,group_0315,group_0315,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0014,data/raw/indian_traffic_vqa/traffic512final/img_0397.jpg,img_0397.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0492,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,e9266349dc3d17153044e3a197de8fb712e133a90a68ab668d72211a586cc281,07071898c0802204,group_0370,group_0370,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0015,data/raw/indian_traffic_vqa/traffic512final/img_0402.jpg,img_0402.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0493,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,784296357ee201869543b9e7fbed6eaf7ecd3bb48612c17a9b52892a6996e34a,262660212e182005,group_0373,group_0373,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0016,data/raw/indian_traffic_vqa/traffic512final/img_0408.jpg,img_0408.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0494,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,4c9bdb5c0e4a1ba11382a82678686431ef5637c67b3372063c71783ac6c1fc2b,811494d6400e3313,group_0342,group_0342,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0017,data/raw/indian_traffic_vqa/traffic512final/img_0412.jpg,img_0412.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0495,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,31bb669dfec2b05aae842e29f2f0eaf5792ff0c1c75270ae475d86eb1d69b94a,07071898c0802204,group_0370,group_0370,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0018,data/raw/indian_traffic_vqa/traffic512final/img_0413.jpg,img_0413.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0496,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,abddc02b1b799f4f022beb080150c9d8654cb9e2b4f91e6dccaf5460158ff6c8,1b1b706000083202,group_0340,group_0340,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0019,data/raw/indian_traffic_vqa/traffic512final/img_0424.jpg,img_0424.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0497,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,fca7845c78f721c9342fc8493cbb829566868a908e0e7149fa56becd00e38870,262660212e182005,group_0373,group_0373,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0020,data/raw/indian_traffic_vqa/traffic512final/img_0497.jpg,img_0497.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0498,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,53f1fef09ab608738d3fd7b480c57fc99841ec7a8a78fb98676fcbaf99237337,ac61f0da1a18c040,group_0431,group_0431,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
ULR-0021,data/raw/indian_traffic_vqa/traffic512final/img_0509.jpg,img_0509.jpg,What does the symbol represent?,Stop,Indian Traffic VQA Dataset B,V2-0499,stop,rejected,,Semantic mismatch: images show bus-stop/bus-bay signage rather than a standard STOP sign.,V2_rejected,bus_stop,d55e1bdcb881ac03d833aa4293c5b407bfdc9ba011394cbdf0b58e44b3126d58,fec180d0642c2068,group_0443,group_0443,no,no,no,no,no,"zero source-image, perceptual-group, and exact-SHA overlap with frozen V2",The prior STOP rejection is not reused as approval. The image visually depicts a bus-stop or bus-bay sign and requires a new decision.,pending_curator_confirmation,pending,,
